slogan_exists,icon_selected,template_id,sales_count
t,f,76753,7
t,f,668194,3
t,f,556878,22
f,t,265407,9
t,t,317457,1
f,t,266201,5
t,f,6035796,1
t,f,3591052,1
t,f,32021,1
f,t,317457,1
t,t,601046,12
t,t,169645,22
t,f,265429,4
t,f,85528,2
f,f,472636,9
t,t,790382,30
f,t,76800,1
f,f,2974430,1
t,f,472632,1
f,f,150488,1
f,t,3065955,3
t,f,6038705,1
f,t,472644,4
f,t,74044,9
f,f,187578,1
f,t,3156040,1
f,t,105886,4
f,t,76465,1
t,f,768558,1
t,t,76439,1
f,f,87842,10
t,t,3591052,13
t,t,85572,1
t,f,3065783,6
t,t,74059,33
t,f,76840,1
t,t,32563,28
t,f,69515,2
f,t,91245,14
t,t,207355,4
t,t,761016,17
f,t,149798,1
f,f,600846,3
t,t,601135,2
f,f,69515,4
t,f,91274,11
f,t,421846,2
t,t,3138622,261
t,f,601046,1
t,f,150306,1
t,f,321431,1
t,f,556855,7
t,f,179939,1
t,f,266242,2
f,f,169645,2
t,t,3262563,9
f,f,74374,14
f,t,110409,1
t,t,266371,1
f,t,6038098,6
t,f,87842,2
f,t,85572,4
f,f,266371,3
t,f,661952,1
f,t,150750,232
t,t,91274,19
t,t,179849,8
f,f,91245,9
f,f,3077172,1
f,t,472639,7
t,t,150129,1
t,t,150380,6
f,t,3557622,1
f,f,421467,1
t,f,32935,1
f,t,238195,2
t,t,274898,12
f,t,761362,1
f,f,327010,1
t,f,73712,3
t,t,556873,3
t,t,74340,12
t,t,3492422,17
t,t,179880,2
t,t,778719,302
t,t,207376,24
t,f,2145610,3
t,f,274898,2
f,t,6038705,29
t,t,3557622,25
t,t,888076,6
t,t,768686,3
t,t,601070,3
f,t,2146025,1
f,t,169645,7
t,t,274884,9
t,f,472633,7
f,t,6038196,34
t,t,2974601,2
f,t,6030172,6
t,t,170400,35
f,t,80437,24
t,t,6038326,20
f,t,73274,6
f,f,169278,2
t,t,601099,5
t,f,137642,1
f,f,73575,1
t,f,187578,2
f,t,150488,12
f,f,74595,1
f,t,79138,5
t,t,3394824,24
f,t,3263751,3
f,f,2237495,3
t,t,266220,4
t,t,768558,17
f,t,74356,3
t,t,170892,8
t,t,6038434,53
f,t,3276885,1
f,t,274505,19
f,f,76526,1
t,f,2974601,7
f,f,401155,1
f,t,266220,6
t,t,3581804,1
t,f,400982,5
t,f,184050,1
t,f,2237495,5
f,t,320172,3
f,t,74340,5
t,f,32502,1
t,t,78131,1
t,f,326920,1
t,t,265395,1
f,f,184367,1
f,f,3077479,3
f,f,207355,1
f,t,673227,1
f,t,162721,9
f,t,32029,6
t,f,150207,2
f,t,3593920,20
t,t,3156040,5
t,f,6035699,2
f,t,326988,1
t,t,472639,5
f,t,3065783,2
t,f,266211,1
t,f,32563,14
f,t,3386735,20
f,t,132580,25
t,f,321277,2
f,f,400762,16
t,f,179849,6
f,t,237823,9
t,f,149072,2
t,t,472643,10
t,t,76526,33
t,t,421467,3
f,t,321138,2
f,t,96256,1
t,f,472636,14
f,f,74059,6
t,f,87878,2
f,f,888076,1
f,t,85528,3
t,t,2145610,114
f,t,472635,39
f,t,78837,68
t,t,2974430,6
t,f,275152,2
f,t,2147460,2
t,f,86469,2
f,t,3371429,140
t,f,85601,2
f,t,3138622,152
t,t,798549,25
t,t,6038175,2
t,t,150514,8
f,f,207524,3
f,t,662192,3
t,f,208991,3
f,f,170400,11
f,t,266211,15
f,t,149551,2
t,f,421448,31
f,t,92666,2
f,f,76753,11
f,f,74351,2
t,t,472637,3
t,t,321128,1
t,t,3333176,5
f,t,790382,7
t,f,3082764,1
f,f,6038196,3
t,t,2144698,25
t,t,110409,12
f,f,600998,1
f,t,3065308,1
f,t,162098,3
f,t,6037719,45
t,t,184367,2
t,f,662192,2
t,f,80437,7
t,t,556855,38
f,f,162721,3
t,t,326960,7
t,t,668194,7
f,t,74351,7
f,f,3065031,28
f,t,661952,8
f,f,3164966,2
t,t,85850,9
f,f,150207,4
f,t,274884,4
f,f,78885,12
t,f,237823,4
f,t,87842,17
f,f,179730,1
f,f,3164270,9
t,t,32029,5
f,t,400762,111
t,t,400746,17
t,f,3333176,8
t,t,472635,69
f,t,74488,79
t,f,266220,1
t,t,96003,6
t,f,6038434,1
f,t,76416,2
f,t,431561,6
t,t,431581,49
f,f,73796,3
f,t,798957,2
t,t,265429,8
f,t,111575,13
t,t,600846,2
t,f,6038544,2
f,t,76753,8
t,f,133715,1
f,t,321431,24
t,f,327166,1
f,f,2148039,1
f,t,600998,2
f,f,504583,3
t,f,91245,6
f,t,763113,2
f,t,3591052,39
f,t,504786,3
t,t,3065031,272
t,f,3394824,2
t,t,110333,5
t,t,149072,35
t,f,74044,1
t,f,3593920,16
f,t,761016,15
t,t,326988,2
t,t,3107528,5
