industry_id,slogan_exists,icon_selected,template_id,sales_count
1,t,f,76753,1
14,f,t,6035699,1
6,f,t,3138622,8
96,t,t,184367,1
25,f,t,78837,1
60,t,t,798549,1
17,f,t,162721,1
1,t,f,668194,1
67,f,t,3107528,1
8,t,t,600969,1
,t,f,556878,4
29,f,f,835344,2
6,t,t,204942,1
6,t,t,3138622,10
12,f,t,150750,8
6,t,t,105886,1
6,f,t,778719,14
86,t,t,680977,6
59,f,t,400920,1
65,f,t,778719,2
77,t,t,3138622,5
21,f,t,207524,1
21,t,t,321154,1
3,f,t,835344,2
6,t,f,237769,1
54,f,f,3138622,1
41,t,t,74340,1
3,t,f,472633,1
96,f,t,150669,4
41,f,t,74044,1
39,t,t,680977,3
31,f,t,472636,1
3,t,t,2145610,9
60,t,t,74374,2
39,f,f,74374,1
72,f,t,421448,1
94,f,t,3394824,2
,f,t,265407,1
29,f,t,662049,1
85,f,t,662192,1
84,t,t,680977,3
34,t,t,472636,1
12,f,t,2237495,1
40,f,t,6109285,4
99,f,t,74340,1
17,t,t,673297,1
76,f,t,6035699,1
75,f,f,92666,1
40,t,t,266178,1
57,t,t,149551,6
36,f,t,175728,3
67,f,t,32935,2
40,f,t,150750,3
1,f,t,207355,2
37,f,t,601070,1
32,f,f,3593920,1
40,t,t,790382,2
99,f,t,3138622,1
45,t,t,6035699,1
130,f,t,3065031,1
1,t,t,169645,2
72,t,t,74374,2
55,f,t,556855,2
55,t,t,6038635,1
25,f,t,3371429,3
7,f,t,556855,1
39,t,t,149551,2
96,f,t,3581654,1
29,f,t,207524,1
60,t,t,6035699,1
39,f,f,179849,2
,t,f,265429,1
40,t,t,835344,2
67,t,t,80795,4
6,t,t,266242,1
14,t,t,472632,1
77,f,t,6035699,2
39,f,t,175728,5
,f,f,472636,1
6,f,f,169645,1
25,t,f,32563,2
12,f,f,6109285,2
13,t,t,149106,1
13,f,t,150750,5
54,f,t,601135,1
8,t,t,6035699,6
1,t,t,790382,3
51,t,f,162721,1
108,f,t,3077479,1
73,t,t,321431,1
37,t,t,74059,1
24,t,t,493167,2
40,t,t,3138622,2
73,t,t,321154,3
81,f,t,74488,1
33,t,t,472636,1
1,f,f,2974430,1
51,f,t,6035699,5
3,t,t,3138622,8
29,t,t,835344,2
84,f,t,493167,1
45,t,t,3065031,2
41,f,t,150669,3
3,f,f,3065031,1
94,t,t,3163893,1
30,f,t,274505,1
40,t,t,81165,1
41,f,t,150207,1
30,t,t,274884,1
67,f,t,6038544,1
12,f,t,472644,1
61,f,t,274505,2
13,f,t,680977,6
6,f,f,3138622,2
61,t,t,3065031,2
75,t,f,74374,1
52,f,f,600940,1
1,t,t,3581654,1
59,t,t,326960,1
94,f,t,662049,2
17,f,f,150669,1
32,t,t,6109285,1
78,t,t,669712,1
73,f,t,80437,1
94,t,t,421448,4
12,f,t,92666,1
45,t,t,326960,1
75,t,t,504786,1
21,f,t,327188,1
1,f,t,74044,1
25,t,t,32884,1
3,t,f,556878,1
77,t,t,6035699,3
36,t,f,73712,1
99,f,f,668180,1
12,t,t,6037719,6
11,t,t,3394824,1
44,f,t,662049,3
65,t,f,3065031,1
13,t,f,267723,1
6,f,f,150669,1
24,t,f,169645,1
47,t,t,668194,1
65,t,t,3138622,2
42,t,f,6109285,1
29,t,f,96003,1
76,t,t,3138622,1
15,t,t,87878,3
61,t,t,408562,2
62,t,t,680977,1
17,f,t,150669,1
6,f,t,3386735,3
85,t,t,2974173,1
28,t,t,321128,1
72,f,t,472635,1
63,t,t,73796,5
39,f,t,150207,1
29,f,f,149072,1
37,f,t,778719,6
26,t,t,80437,1
72,f,t,74374,1
3,f,t,6036009,1
63,t,t,3138622,12
17,f,t,556878,2
86,t,t,400762,1
86,f,t,73796,2
10,t,t,3138622,1
57,t,t,724928,1
12,t,t,80437,4
