company_name_length,template_id,sales_count
15-20,3164270,1
6-10,81165,6
1-5,80437,20
11-15,193622,2
1-5,96253,12
11-15,207355,4
20-25,150488,2
6-10,2974173,10
26+,265407,2
1-5,3164270,2
15-20,207340,1
6-10,209112,12
6-10,3164966,2
15-20,3138622,77
11-15,1947965,2
20-25,3492422,4
6-10,3557622,2
11-15,421815,4
20-25,662192,1
11-15,73712,1
1-5,208991,8
15-20,238195,1
20-25,321145,2
26+,92421,7
11-15,327134,1
1-5,274505,3
20-25,400746,4
26+,400746,4
6-10,79138,8
6-10,6038434,14
1-5,85572,1
11-15,96003,1
6-10,74507,2
6-10,149072,23
6-10,32935,10
11-15,78885,22
6-10,73796,87
26+,237823,3
6-10,601046,3
11-15,88039,7
26+,265423,1
20-25,326960,1
15-20,472639,2
26+,6038434,7
11-15,669712,10
20-25,661952,1
26+,408562,1
6-10,74059,26
1-5,81165,3
1-5,3155773,9
11-15,86469,1
26+,150153,1
26+,179939,1
6-10,96003,1
11-15,149798,2
11-15,149551,71
11-15,207376,6
11-15,779703,2
6-10,472643,11
26+,76526,5
11-15,76840,4
1-5,472637,1
6-10,3262563,2
1-5,472633,13
20-25,2145610,9
11-15,400920,2
6-10,265238,2
15-20,169278,5
11-15,326960,6
6-10,680977,264
20-25,408562,4
6-10,472632,6
26+,73796,11
15-20,149072,41
11-15,662192,4
11-15,6038635,26
11-15,601070,1
1-5,321154,2
15-20,3263751,2
26+,74059,2
15-20,778719,160
20-25,790382,1
20-25,6038434,3
1-5,6038544,2
15-20,169645,5
1-5,668194,2
6-10,669712,16
15-20,400762,20
1-5,169645,7
15-20,6038098,2
6-10,321431,8
11-15,2146025,2
6-10,2192023,2
20-25,761016,1
15-20,504786,6
15-20,401155,1
1-5,32021,3
1-5,74351,3
11-15,91274,9
15-20,326920,4
11-15,74488,53
20-25,3386735,3
6-10,76753,15
15-20,3065031,119
26+,150207,4
6-10,3593920,39
11-15,175310,2
11-15,169645,11
20-25,264998,1
1-5,91245,4
20-25,3077479,1
